ISSN-year_tag,count_Dimensions,fixed_from,database_Dimensions,database_OpenAlex,count_OpenAlex,year,Dim/OpenAlex,ISSN
0001-6918_2021,155,,Dimensions,OpenAlex,175,2021,0.8857142857142857,0001-6918
0001-6918_2022,264,,Dimensions,OpenAlex,262,2022,1.0076335877862594,0001-6918
0001-6918_2023,219,,Dimensions,OpenAlex,226,2023,0.9690265486725663,0001-6918
0010-440X_2019,72,,Dimensions,OpenAlex,83,2019,0.8674698795180723,0010-440X
0010-440X_2020,61,,Dimensions,OpenAlex,75,2020,0.8133333333333334,0010-440X
0010-440X_2021,68,,Dimensions,OpenAlex,64,2021,1.0625,0010-440X
0010-440X_2022,62,,Dimensions,OpenAlex,73,2022,0.8493150684931506,0010-440X
0010-440X_2023,77,,Dimensions,OpenAlex,70,2023,1.1,0010-440X
0011-393X_2019,26,,Dimensions,OpenAlex,31,2019,0.8387096774193549,0011-393X
0011-393X_2020,42,,Dimensions,OpenAlex,48,2020,0.875,0011-393X
0011-393X_2021,36,,Dimensions,OpenAlex,35,2021,1.0285714285714285,0011-393X
0011-393X_2022,27,,Dimensions,OpenAlex,31,2022,0.8709677419354839,0011-393X
0011-393X_2023,36,,Dimensions,OpenAlex,36,2023,1,0011-393X
0014-4800_2023,14,,Dimensions,OpenAlex,17,2023,0.8235294117647058,0014-4800
0016-7061_2023,463,,Dimensions,OpenAlex,468,2023,0.9893162393162394,0016-7061
0019-4832_2022,82,,Dimensions,OpenAlex,278,2022,0.2949640287769784,0019-4832
0019-4832_2023,82,,Dimensions,OpenAlex,320,2023,0.25625,0019-4832
0020-6539_2021,103,,Dimensions,OpenAlex,116,2021,0.8879310344827587,0020-6539
0020-6539_2022,123,,Dimensions,OpenAlex,121,2022,1.0165289256198347,0020-6539
0020-6539_2023,100,,Dimensions,OpenAlex,279,2023,0.35842293906810035,0020-6539
0021-9258_2021,1258,,Dimensions,OpenAlex,1333,2021,0.9437359339834959,0021-9258
0021-9258_2022,1226,,Dimensions,OpenAlex,1225,2022,1.0008163265306123,0021-9258
